created_at,entry_id,temperatura_ambiente,humedad_ambiente,temperatura_suelo,humedad_suelo,latitude,longitude,elevation,status
2024-11-11T15:20:08+00:00,1123,26.7,59,19.69,0,,,,
2024-11-11T15:23:53+00:00,1124,27.6,56,19.75,0,,,,
2024-11-11T15:24:10+00:00,1125,27.6,56,19.69,0,,,,
2024-11-11T15:24:27+00:00,1126,27.6,56,19.69,0,,,,
2024-11-11T15:24:44+00:00,1127,27.6,57,19.69,0,,,,
2024-11-11T15:25:01+00:00,1128,27.6,57,19.62,0,,,,
2024-11-11T15:25:18+00:00,1129,27.6,56,19.69,89,,,,
2024-11-11T15:25:35+00:00,1130,28,54,19.87,75,,,,
2024-11-11T15:25:51+00:00,1131,28,54,19.94,5,,,,
2024-11-11T15:26:09+00:00,1132,28,54,20,10,,,,
2024-11-11T15:26:27+00:00,1133,28,53,20,81,,,,
2024-11-11T15:26:45+00:00,1134,28,53,20.06,70,,,,
2024-11-11T15:27:02+00:00,1135,28,53,20,69,,,,
2024-11-11T15:27:19+00:00,1136,28,53,20.06,69,,,,
2024-11-11T15:27:35+00:00,1137,28,53,20.06,69,,,,
2024-11-11T15:27:52+00:00,1138,28,53,20.06,68,,,,
2024-11-11T15:28:08+00:00,1139,28,52,20,68,,,,
2024-11-11T15:28:25+00:00,1140,28,52,20.12,68,,,,
2024-11-11T15:28:42+00:00,1141,28,52,20.06,68,,,,
2024-11-11T15:28:58+00:00,1142,28,52,20.06,68,,,,
2024-11-11T15:29:15+00:00,1143,28,52,20.06,69,,,,
2024-11-11T15:29:32+00:00,1144,28,51,20,69,,,,
2024-11-11T15:29:49+00:00,1145,28,51,20,69,,,,
2024-11-11T15:30:07+00:00,1146,28,52,20,70,,,,
2024-11-11T15:30:24+00:00,1147,28,52,20,70,,,,
2024-11-11T15:30:40+00:00,1148,28,52,20,70,,,,
2024-11-11T15:30:58+00:00,1149,28,52,20,70,,,,
2024-11-11T15:31:14+00:00,1150,28,52,20,70,,,,
2024-11-11T15:31:32+00:00,1151,28,52,20,71,,,,
2024-11-11T15:31:49+00:00,1152,28,51,20,71,,,,
2024-11-11T15:32:06+00:00,1153,28,51,20.06,71,,,,
2024-11-11T15:32:22+00:00,1154,28,51,20,71,,,,
2024-11-11T15:32:38+00:00,1155,28,51,20,72,,,,
2024-11-11T15:32:55+00:00,1156,28,51,20,71,,,,
2024-11-11T15:33:12+00:00,1157,28,51,20.06,72,,,,
2024-11-11T15:33:31+00:00,1158,28,51,20,72,,,,
2024-11-11T15:33:48+00:00,1159,28,51,19.94,72,,,,
2024-11-11T15:37:49+00:00,1160,28,51,20,76,,,,
2024-11-11T15:42:27+00:00,1161,28.9,50,20.06,78,,,,
2024-11-11T15:47:01+00:00,1162,28.9,48,20.12,85,,,,
2024-11-11T15:47:18+00:00,1163,28.9,48,20.12,89,,,,
2024-11-11T15:47:35+00:00,1164,28.9,48,20.12,89,,,,
2024-11-11T15:47:51+00:00,1165,28.5,48,20.12,89,,,,
2024-11-11T15:48:08+00:00,1166,28.5,48,20.19,89,,,,
2024-11-11T15:48:25+00:00,1167,28.5,48,20.12,89,,,,
2024-11-11T15:48:41+00:00,1168,28.5,48,20.12,88,,,,
2024-11-11T15:48:58+00:00,1169,28.5,48,20.12,87,,,,
2024-11-11T15:49:15+00:00,1170,28.5,49,20.12,86,,,,
2024-11-11T15:49:32+00:00,1171,28.5,49,20.12,86,,,,
2024-11-11T15:49:48+00:00,1172,28.5,48,20.12,85,,,,
2024-11-11T15:50:05+00:00,1173,28.5,48,20.12,85,,,,
2024-11-11T15:50:21+00:00,1174,28.5,48,20.19,84,,,,
2024-11-11T15:54:37+00:00,1175,28.5,49,20.06,74,,,,
2024-11-11T15:54:55+00:00,1176,28.5,48,20,73,,,,
2024-11-11T15:55:12+00:00,1177,28.5,48,20,73,,,,
2024-11-11T15:55:29+00:00,1178,28.5,48,20,73,,,,
2024-11-11T15:55:45+00:00,1179,28,48,20.06,73,,,,
2024-11-11T15:56:03+00:00,1180,28,49,20,74,,,,
2024-11-11T15:56:19+00:00,1181,28,49,20,74,,,,
2024-11-11T15:56:36+00:00,1182,28,49,20,74,,,,
2024-11-11T15:56:53+00:00,1183,28,49,20,74,,,,
2024-11-11T15:57:10+00:00,1184,28,49,20,75,,,,
2024-11-11T15:57:27+00:00,1185,28,49,20,75,,,,
2024-11-11T15:57:43+00:00,1186,28,49,20,75,,,,
2024-11-11T15:58:00+00:00,1187,28,50,20.06,75,,,,
2024-11-11T16:00:40+00:00,1188,28.5,49,20.06,78,,,,
2024-11-11T16:00:58+00:00,1189,28.5,49,20,77,,,,
2024-11-11T16:01:20+00:00,1190,28.5,49,20.06,78,,,,
2024-11-11T16:01:39+00:00,1191,28.5,49,20.06,78,,,,
2024-11-11T16:01:57+00:00,1192,28.5,49,20.06,77,,,,
2024-11-11T16:02:14+00:00,1193,28.5,49,20.06,77,,,,
2024-11-11T16:02:31+00:00,1194,28.5,48,20.06,78,,,,
2024-11-11T16:02:47+00:00,1195,28.5,48,20.06,77,,,,
2024-11-11T16:03:05+00:00,1196,28.5,49,20.12,78,,,,
2024-11-11T16:03:22+00:00,1197,28.9,49,20.06,78,,,,
2024-11-11T16:03:39+00:00,1198,28.9,49,20.12,78,,,,
2024-11-11T16:03:56+00:00,1199,28.9,49,20.12,78,,,,
2024-11-11T16:04:12+00:00,1200,28.9,49,20.12,78,,,,
2024-11-11T16:04:28+00:00,1201,28.9,49,20.12,78,,,,
2024-11-11T16:04:45+00:00,1202,28.9,49,20.12,78,,,,
2024-11-11T16:05:03+00:00,1203,29.1,49,20.12,78,,,,
2024-11-11T16:05:25+00:00,1204,29.3,49,20.12,78,,,,
2024-11-11T16:05:43+00:00,1205,29.3,48,20.12,78,,,,
2024-11-11T16:06:00+00:00,1206,29.3,48,20.19,78,,,,
2024-11-11T16:06:19+00:00,1207,29.3,48,20.19,78,,,,
2024-11-11T16:06:36+00:00,1208,28.9,48,20.12,78,,,,
2024-11-11T16:06:53+00:00,1209,28.9,48,20.19,78,,,,
2024-11-11T16:07:11+00:00,1210,28.9,48,20.19,78,,,,
2024-11-11T16:07:28+00:00,1211,28.9,48,20.19,78,,,,
2024-11-11T16:07:45+00:00,1212,29.3,48,20.19,78,,,,
